#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

opinion_adventuring_ally;Adventuring Ally;;;;;;;;;;;;;x
opinion_adventuring_foe;Adventuring Foe;;;;;;;;;;;;;x
opinion_insulted_my_imperial_claim;Insulted my Imperial Claim;;;;;;;;;;;;;x
opinion_duel_target;Duel Target;;;;;;;;;;;;;x
opinion_battle_duel_target;Battle Duel Target;;;;;;;;;;;;;x
opinion_thinks_insane;Thinks I am Insane;;;;;;;;;;;;;x
opinion_disapprove_marriage;Disapproves of Marriage;;;;;;;;;;;;;x
opinion_approves_marriage;Approves of Marriage;;;;;;;;;;;;;x
opinion_raped_me;Raped Me!;;;;;;;;;;;;;x
opinion_raped_family;Raped my Kin;;;;;;;;;;;;;x
opinion_raped_spouse;Raped Spouse;;;;;;;;;;;;;x
opinion_raped_consort;Raped Consort;;;;;;;;;;;;;x
opinion_forced_to_relinquish_claims;Force to Relinquish my Claim;;;;;;;;;;;;;x
opinion_tortured_friend;Tortured Fried;;;;;;;;;;;;;x
opinion_tortured_lover;Tortured Loved;;;;;;;;;;;;;x
opinion_tortured_kin;Tortured my Kin;;;;;;;;;;;;;x
opinion_forced_marriage;Forced Marriage;;;;;;;;;;;;;x
opinion_forced_marriage_child;Forced Marriage of My Child;;;;;;;;;;;;;x
opinion_forced_marriage_kin;Forced Marriage of Kin;;;;;;;;;;;;;x
opinion_attending_tournament;Attending Tournament;;;;;;;;;;;;;x
opinion_squire_humiliated;Squire Humiliated;;;;;;;;;;;;;x
kidnapped_me;Kidnapped Me!;;;;;;;;;;;;;x
attempted_kidnapping;Attempted Kidnapping;;;;;;;;;;;;;x
attempted_kidnapping_of_vassal;Attempted Kidnapping of Vassal;;;;;;;;;;;;;x
attempted_kidnapping_of_kin;Attempted Kidnapping of Kin;;;;;;;;;;;;;x
opinion_slayed_kinsman;Slayed my Kin;;;;;;;;;;;;;x
killed_vassal;Killed Vassal;;;;;;;;;;;;;x
attempted_murder_of_close_kin;Attempted Murder of Kin;;;;;;;;;;;;;x
devious_plotter;Devious Plotter;;;;;;;;;;;;;x
opinion_tortured_me;Tortured Me!;;;;;;;;;;;;;x
opinion_knighted_me;Knighted Me;;;;;;;;;;;;;x
opinion_sponsored_order;Sponsored Knightly Order;;;;;;;;;;;;;x
opinion_paid_tuition;Paid my Tuition!;;;;;;;;;;;;;x
opinion_spectating_tournament;Watching Tournament;;;;;;;;;;;;;x
holding_epic_tournament;Holding Epic Tournament;;;;;;;;;;;;;x
