#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

employ_steward;Employ a Steward;;;;;;;;;;;;;x
employ_steward_desc;The realm needs a steward, luckily for us there will always be men seeking for employment.;;;;;;;;;;;;;x
employ_lieutenant;Employ a Lieutenant;;;;;;;;;;;;;x
employ_lieutenant_desc;The realm needs a warrior to command our troops, luckily for us there will always be men seeking for employment.;;;;;;;;;;;;;x
employ_shadow;Employ a Shadow;;;;;;;;;;;;;x
employ_shadow_desc;Our household needs someone who will get his hands dirty for a price, luckily for us there will always be men seeking for employment.;;;;;;;;;;;;;x
employ_herald;Employ a Herald;;;;;;;;;;;;;x
employ_herald_desc;Our household needs someone to keep our genealogical records as well as an avid speaker, luckily for us there will always be men seeking for employment.;;;;;;;;;;;;;x
open_employment_decisions;Open Employment Decisions;;;;;;;;;;;;;x
open_employment_decisions_desc;Open the employment decisions - This will let you hire steward, shadow, herald, a field commander, or bring to court a young debutante.;;;;;;;;;;;;;x
close_employment_decisions;Close Employment Decisions;;;;;;;;;;;;;x
close_employment_decisions_desc;Close Employment Decisions;;;;;;;;;;;;;x
perform_bloodtheft;Perform Bloodtheft;;;;;;;;;;;;;x
perform_bloodtheft_desc;Perform bloodtheft on your prisoners, consuming his bloodline and killing him in the process.;;;;;;;;;;;;;x
increase_your_bloodline_t;Increase Tainted Bloodline;;;;;;;;;;;;;x
increase_your_bloodline_t_desc;By using your accumulated regency and prestige you may increase your bloodline power.;;;;;;;;;;;;;x
increase_your_bloodline_m;Increase Minor Bloodline;;;;;;;;;;;;;x
increase_your_bloodline_m_desc;By using your accumulated regency and prestige you may increase your bloodline power.;;;;;;;;;;;;;x
increase_bloodscore;Increase Your Bloodscore;;;;;;;;;;;;;x
increase_bloodscore_desc;By using your accumulated regency you may increase your bloodscore by 1 point for 10x regency.;;;;;;;;;;;;;x
open_adventuring_menu;Open Adventuring Menu;;;;;;;;;;;;;x
open_adventuring_menu_desc;Open the adventuring menu receiving a letter telling you what to do.;;;;;;;;;;;;;x
becoming_emperor;Become Emperor of Anuire;;;;;;;;;;;;;x
becoming_emperor_desc;Become Emperor of the Anuirean Empire.;;;;;;;;;;;;;x
begin_bid;Begin Bid for the Iron Throne;;;;;;;;;;;;;x
begin_bid_desc;Begin your bid to gain the Iron Throne.;;;;;;;;;;;;;x
buy_support;Buy Support of Neighbouring Realms;;;;;;;;;;;;;x
buy_support_desc;By spending your prestige or wealth you can buy the support of a neighbouring realm, effectively becoming your vassals and recognising your claim to the Iron Throne.;;;;;;;;;;;;;x
change_religion;Change your Religion;;;;;;;;;;;;;x
change_religion_desc;Changing your religion comes at a price, your vassals may dislike this.;;;;;;;;;;;;;x
choose_adventuring_class;Choose your Adventuring Class;;;;;;;;;;;;;x
choose_adventuring_class_desc;It is time to choose your adventuring class, you will be presented with different choices - a mage, bard, ranger, fighter, priest or a rogue.;;;;;;;;;;;;;x
prepare_a_mass_invasion;Prepare a Mass Invasion;;;;;;;;;;;;;x
prepare_a_mass_invasion_desc;You will gather your vassals and plan an invasion the mights which Cerilia has never seen before.;;;;;;;;;;;;;x
command_cm;Command your Court Mage;;;;;;;;;;;;;x
command_cm_desc;Command your court mage to do your bidding.;;;;;;;;;;;;;x
craft_item;Craft a Magical Item;;;;;;;;;;;;;x
craft_item_desc;As a magic user you might want to craft a magical item, however this will consume time and come at a cost.;;;;;;;;;;;;;x
legendary_quest;Go on a Legendary Quest;;;;;;;;;;;;;x
legendary_quest_desc;Going on a legendary quest will surely immortalise you in the history books... IF you succeed.;;;;;;;;;;;;;x
recover_from_maiming;Recover form Maiming;;;;;;;;;;;;;x
recover_from_maiming_desc;Recovering from maiming while not entirely hard will surely come at a cost.;;;;;;;;;;;;;x
cast_realm_magic;Cast Arcane Realm Magic;;;;;;;;;;;;;x
cast_realm_magic_desc;Cast Arcane Realm Magic.;;;;;;;;;;;;;x
cast_realm_war_magic;Cast Arcane Realm War Magic;;;;;;;;;;;;;x
cast_realm_war_magic_desc;Cast Arcane Realm War Magic.;;;;;;;;;;;;;x
