#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_swordsofavanil;Swords of Avanil;;;;;;;;;;;;;x
d_dawnlances;Lances of Dawn;;;;;;;;;;;;;x
d_spurbrotherhood;Brotherhood of The Spur;;;;;;;;;;;;;x
d_clan_ironbreaker;Clan Ironbreaker;;;;;;;;;;;;;x
c_aegilsgaard;Aegilsgaard Tribe;;;;;;;;;;;;;x
c_gautrakka;Gautrakka Tribe;;;;;;;;;;;;;x
c_halskorrik;Halskorrik Tribe;;;;;;;;;;;;;x
c_jarnkasspel;Jarnkasspel Tribe;;;;;;;;;;;;;x
c_trygvaar;Trygvaar Tribe;;;;;;;;;;;;;x
d_zweilund_pirates;Zweilund Pirates;;;;;;;;;;;;;x
c_uguraklegion;Ugurak's Legion;;;;;;;;;;;;;x
c_kalgatorsmashers;Kalgator's Smashers;;;;;;;;;;;;;x
c_malachardefilers;Malachar's Defilers;;;;;;;;;;;;;x
d_white_goblin_company;White Goblin Company;;;;;;;;;;;;;x
d_ghostlegions;Ghost-Legions;;;;;;;;;;;;;x
d_hawkorder;Order of The Hawk;;;;;;;;;;;;;x
d_roseorder;Order of The Rose;;;;;;;;;;;;;x
d_swordorder;Order of The Sword;;;;;;;;;;;;;x
